EventID,EventName,StartDate,EndDate,Location,MemberId
89,Merch Sale Event,2024-03-11 02:00:00,2024-03-11 03:00:00,"Buenos Aires, Argentina",2
90,Tour,2023-06-17 12:00:00,2023-06-17 15:00:00,"Lagos, Nigeria",2
91,Reality Show,2022-01-01 04:00:00,2022-01-01 08:00:00,"Tokyo, Japan",5
92,Merch Sale Event,2022-04-02 06:00:00,2022-04-02 09:00:00,"Tokyo, Japan",5
93,Fan Meet-Up,2022-05-29 07:00:00,2022-05-29 10:00:00,"Cairo, Egypt",2
94,Tour,2024-07-27 06:00:00,2024-07-27 10:00:00,"Lagos, Nigeria",3
95,Fan Meet-Up,2021-11-24 13:00:00,2021-11-24 15:00:00,"Manila, Philippines",2
96,Reality Show,2022-03-05 05:00:00,2022-03-05 09:00:00,"Mexico City, Mexico",3
97,Tour,2022-07-07 12:00:00,2022-07-07 14:00:00,"Kolkata, India",2
98,Tour,2023-03-20 20:00:00,2023-03-20 22:00:00,"Shanghai, China",1
99,Concert,2023-07-12 23:00:00,2023-07-13 02:00:00,"São Paulo, Brazil",4
100,Reality Show,2024-08-30 07:00:00,2024-08-30 10:00:00,"Tianjin, China",4
101,Fan Meet-Up,2022-05-04 14:00:00,2022-05-04 17:00:00,"Cairo, Egypt",3
102,Concert,2024-04-04 12:00:00,2024-04-04 15:00:00,"Rio de Janeiro, Brazil",2
103,Merch Sale Event,2023-12-04 21:00:00,2023-12-05 00:00:00,"Kinshasa, DR Congo",1
104,Merch Sale Event,2023-07-29 07:00:00,2023-07-29 10:00:00,"Mumbai, India",4
105,Reality Show,2023-12-16 10:00:00,2023-12-16 11:00:00,"Kolkata, India",1
106,Concert,2024-05-16 02:00:00,2024-05-16 06:00:00,"Rio de Janeiro, Brazil",5
107,Tour,2024-03-24 09:00:00,2024-03-24 12:00:00,"Manila, Philippines",3
108,Concert,2022-04-03 06:00:00,2022-04-03 08:00:00,"Dhaka, Bangladesh",3
109,Reality Show,2022-03-01 21:00:00,2022-03-01 22:00:00,"São Paulo, Brazil",3
110,Merch Sale Event,2024-10-23 05:00:00,2024-10-23 07:00:00,"Delhi, India",4
111,Fan Meet-Up,2024-10-28 15:00:00,2024-10-28 19:00:00,"Buenos Aires, Argentina",2
112,Concert,2023-05-24 07:00:00,2023-05-24 08:00:00,"Tianjin, China",5
113,Concert,2024-10-03 10:00:00,2024-10-03 11:00:00,"Cairo, Egypt",2
114,Concert,2024-09-29 16:00:00,2024-09-29 20:00:00,"Buenos Aires, Argentina",5
115,Concert,2022-01-02 23:00:00,2022-01-03 02:00:00,"Buenos Aires, Argentina",2
116,Merch Sale Event,2023-08-13 04:00:00,2023-08-13 07:00:00,"Kolkata, India",2
117,Merch Sale Event,2023-03-04 04:00:00,2023-03-04 07:00:00,"Buenos Aires, Argentina",3
118,Concert,2023-01-27 15:00:00,2023-01-27 18:00:00,"Tokyo, Japan",5
119,Fan Meet-Up,2023-01-28 06:00:00,2023-01-28 10:00:00,"Kinshasa, DR Congo",4
120,Tour,2024-09-25 23:00:00,2024-09-26 02:00:00,"Beijing, China",1
121,Merch Sale Event,2022-08-22 06:00:00,2022-08-22 07:00:00,"Tianjin, China",4
122,Merch Sale Event,2022-10-30 15:00:00,2022-10-30 18:00:00,"Rio de Janeiro, Brazil",5
123,Reality Show,2023-04-01 20:00:00,2023-04-01 22:00:00,"Dhaka, Bangladesh",1
124,Tour,2022-06-03 12:00:00,2022-06-03 16:00:00,"Tokyo, Japan",3
125,Reality Show,2023-08-20 06:00:00,2023-08-20 07:00:00,"Kinshasa, DR Congo",4
126,Concert,2024-07-22 08:00:00,2024-07-22 12:00:00,"Tokyo, Japan",2
127,Tour,2023-08-11 14:00:00,2023-08-11 15:00:00,"Delhi, India",4
128,Merch Sale Event,2022-07-18 19:00:00,2022-07-18 23:00:00,"Dhaka, Bangladesh",5
129,Merch Sale Event,2023-12-12 23:00:00,2023-12-13 02:00:00,"Tokyo, Japan",1
130,Merch Sale Event,2022-09-05 11:00:00,2022-09-05 15:00:00,"Mumbai, India",4
131,Reality Show,2022-03-14 15:00:00,2022-03-14 19:00:00,"Tokyo, Japan",5
132,Concert,2023-03-30 18:00:00,2023-03-30 20:00:00,"Dhaka, Bangladesh",5
133,Concert,2024-08-29 18:00:00,2024-08-29 22:00:00,"Manila, Philippines",4
134,Merch Sale Event,2022-12-20 10:00:00,2022-12-20 11:00:00,"Kinshasa, DR Congo",5
135,Reality Show,2024-10-18 16:00:00,2024-10-18 18:00:00,"Tokyo, Japan",3
136,Tour,2023-07-19 04:00:00,2023-07-19 06:00:00,"Lagos, Nigeria",3
137,Reality Show,2022-01-26 16:00:00,2022-01-26 17:00:00,"Dhaka, Bangladesh",2
138,Merch Sale Event,2024-03-29 05:00:00,2024-03-29 06:00:00,"São Paulo, Brazil",2
139,Fan Meet-Up,2024-01-03 14:00:00,2024-01-03 16:00:00,"Beijing, China",4
140,Reality Show,2023-02-16 08:00:00,2023-02-16 09:00:00,"Dhaka, Bangladesh",5
141,Tour,2022-05-03 21:00:00,2022-05-04 00:00:00,"Kinshasa, DR Congo",5
142,Fan Meet-Up,2024-03-26 08:00:00,2024-03-26 12:00:00,"Rio de Janeiro, Brazil",5
143,Reality Show,2023-07-21 14:00:00,2023-07-21 17:00:00,"Mexico City, Mexico",5
144,Merch Sale Event,2024-04-20 02:00:00,2024-04-20 03:00:00,"Delhi, India",5
145,Concert,2024-02-17 23:00:00,2024-02-18 02:00:00,"Chongqing, China",3
146,Fan Meet-Up,2022-02-18 06:00:00,2022-02-18 10:00:00,"Lagos, Nigeria",4
147,Fan Meet-Up,2021-12-19 23:00:00,2021-12-20 01:00:00,"Cairo, Egypt",5
148,Tour,2024-05-15 20:00:00,2024-05-15 22:00:00,"Lagos, Nigeria",3
149,Concert,2022-06-09 12:00:00,2022-06-09 14:00:00,"Osaka, Japan",1
150,Concert,2022-06-06 23:00:00,2022-06-07 01:00:00,"Manila, Philippines",4
151,Reality Show,2023-01-19 09:00:00,2023-01-19 12:00:00,"Lagos, Nigeria",5
152,Tour,2023-08-02 11:00:00,2023-08-02 13:00:00,"Cairo, Egypt",4
153,Fan Meet-Up,2024-03-18 11:00:00,2024-03-18 15:00:00,"Buenos Aires, Argentina",4
154,Fan Meet-Up,2024-10-17 02:00:00,2024-10-17 04:00:00,"Lagos, Nigeria",5
155,Fan Meet-Up,2022-03-21 18:00:00,2022-03-21 20:00:00,"Osaka, Japan",5
156,Tour,2024-09-29 19:00:00,2024-09-29 20:00:00,"Beijing, China",5
157,Concert,2024-01-16 10:00:00,2024-01-16 13:00:00,"Beijing, China",2
158,Concert,2023-04-28 00:00:00,2023-04-28 01:00:00,"Kinshasa, DR Congo",4
159,Fan Meet-Up,2023-02-08 17:00:00,2023-02-08 20:00:00,"Rio de Janeiro, Brazil",4
160,Reality Show,2023-01-02 15:00:00,2023-01-02 18:00:00,"Buenos Aires, Argentina",1
161,Merch Sale Event,2024-09-30 08:00:00,2024-09-30 12:00:00,"Tokyo, Japan",4
162,Concert,2021-11-16 02:00:00,2021-11-16 03:00:00,"Beijing, China",4
163,Fan Meet-Up,2024-01-12 22:00:00,2024-01-13 02:00:00,"Rio de Janeiro, Brazil",1
164,Concert,2022-10-17 02:00:00,2022-10-17 05:00:00,"Shanghai, China",4
165,Merch Sale Event,2023-06-23 13:00:00,2023-06-23 14:00:00,"Shanghai, China",2
166,Merch Sale Event,2022-10-24 14:00:00,2022-10-24 15:00:00,"Beijing, China",2
167,Merch Sale Event,2023-10-26 07:00:00,2023-10-26 10:00:00,"Tokyo, Japan",4
168,Reality Show,2024-02-04 06:00:00,2024-02-04 09:00:00,"Tianjin, China",5
169,Tour,2023-03-07 03:00:00,2023-03-07 07:00:00,"Beijing, China",1
170,Fan Meet-Up,2022-10-04 16:00:00,2022-10-04 20:00:00,"Shanghai, China",5
171,Concert,2024-05-23 03:00:00,2024-05-23 04:00:00,"Beijing, China",4
172,Reality Show,2022-06-17 05:00:00,2022-06-17 08:00:00,"Istanbul, Turkey",5
173,Concert,2022-07-14 23:00:00,2022-07-15 01:00:00,"Manila, Philippines",1
174,Concert,2022-02-01 12:00:00,2022-02-01 16:00:00,"Delhi, India",3
175,Merch Sale Event,2023-04-05 12:00:00,2023-04-05 15:00:00,"Manila, Philippines",1
176,Reality Show,2024-03-08 05:00:00,2024-03-08 07:00:00,"Lagos, Nigeria",2
177,Fan Meet-Up,2024-10-13 15:00:00,2024-10-13 16:00:00,"Shanghai, China",1
178,Fan Meet-Up,2022-11-30 07:00:00,2022-11-30 08:00:00,"Kinshasa, DR Congo",2
179,Tour,2024-09-10 23:00:00,2024-09-11 01:00:00,"Cairo, Egypt",2
180,Tour,2024-09-25 10:00:00,2024-09-25 14:00:00,"Kinshasa, DR Congo",5
181,Tour,2022-09-18 05:00:00,2022-09-18 08:00:00,"Cairo, Egypt",2
182,Reality Show,2023-11-10 06:00:00,2023-11-10 08:00:00,"Buenos Aires, Argentina",4
183,Tour,2023-01-17 11:00:00,2023-01-17 14:00:00,"Kinshasa, DR Congo",3
184,Merch Sale Event,2023-04-10 21:00:00,2023-04-10 22:00:00,"Karachi, Pakistan",1
185,Tour,2023-12-15 14:00:00,2023-12-15 18:00:00,"Dhaka, Bangladesh",2
186,Fan Meet-Up,2021-11-03 03:00:00,2021-11-03 06:00:00,"Istanbul, Turkey",4
187,Concert,2022-01-26 08:00:00,2022-01-26 12:00:00,"Karachi, Pakistan",2
188,Reality Show,2022-08-24 15:00:00,2022-08-24 19:00:00,"Istanbul, Turkey",4
189,Fan Meet-Up,2024-10-16 02:00:00,2024-10-16 03:00:00,"Kolkata, India",1
190,Concert,2022-02-10 00:00:00,2022-02-10 02:00:00,"Buenos Aires, Argentina",1
191,Reality Show,2024-04-10 12:00:00,2024-04-10 16:00:00,"Rio de Janeiro, Brazil",5
192,Concert,2023-08-17 22:00:00,2023-08-18 01:00:00,"Beijing, China",5
193,Reality Show,2024-05-24 07:00:00,2024-05-24 08:00:00,"Mexico City, Mexico",4
194,Concert,2024-03-15 23:00:00,2024-03-16 00:00:00,"São Paulo, Brazil",1
195,Merch Sale Event,2022-01-25 16:00:00,2022-01-25 20:00:00,"Delhi, India",2
196,Concert,2024-02-03 13:00:00,2024-02-03 15:00:00,"Istanbul, Turkey",5
197,Fan Meet-Up,2024-08-29 11:00:00,2024-08-29 15:00:00,"Cairo, Egypt",4
198,Tour,2024-05-16 05:00:00,2024-05-16 08:00:00,"Karachi, Pakistan",1
199,Tour,2023-04-25 10:00:00,2023-04-25 12:00:00,"Osaka, Japan",2
200,Fan Meet-Up,2021-12-15 22:00:00,2021-12-16 01:00:00,"Rio de Janeiro, Brazil",5
201,Fan Meet-Up,2023-10-14 09:00:00,2023-10-14 12:00:00,"Chongqing, China",3
202,Fan Meet-Up,2022-12-18 22:00:00,2022-12-19 02:00:00,"Kolkata, India",2
203,Reality Show,2022-06-20 04:00:00,2022-06-20 07:00:00,"Beijing, China",4
204,Merch Sale Event,2022-04-28 23:00:00,2022-04-29 01:00:00,"Dhaka, Bangladesh",4
205,Reality Show,2023-07-03 23:00:00,2023-07-04 01:00:00,"Buenos Aires, Argentina",4
206,Reality Show,2023-02-18 05:00:00,2023-02-18 07:00:00,"Cairo, Egypt",4
207,Reality Show,2022-05-16 00:00:00,2022-05-16 03:00:00,"Kinshasa, DR Congo",4
208,Reality Show,2024-04-10 20:00:00,2024-04-10 21:00:00,"Buenos Aires, Argentina",2
209,Concert,2022-09-22 08:00:00,2022-09-22 12:00:00,"Tianjin, China",5
210,Merch Sale Event,2024-02-09 21:00:00,2024-02-09 23:00:00,"Mexico City, Mexico",5
211,Tour,2022-12-25 20:00:00,2022-12-25 23:00:00,"Chongqing, China",4
212,Reality Show,2022-06-10 22:00:00,2022-06-11 00:00:00,"Delhi, India",2
213,Reality Show,2023-03-14 16:00:00,2023-03-14 20:00:00,"Tokyo, Japan",3
214,Tour,2023-01-31 20:00:00,2023-01-31 22:00:00,"Cairo, Egypt",3
215,Tour,2022-12-30 16:00:00,2022-12-30 18:00:00,"Rio de Janeiro, Brazil",2
216,Concert,2022-08-24 06:00:00,2022-08-24 07:00:00,"Mumbai, India",3
217,Concert,2023-05-07 14:00:00,2023-05-07 17:00:00,"Mumbai, India",5
218,Concert,2024-05-16 21:00:00,2024-05-16 22:00:00,"Kolkata, India",1
219,Tour,2024-03-12 10:00:00,2024-03-12 13:00:00,"Shanghai, China",1
220,Merch Sale Event,2023-11-14 18:00:00,2023-11-14 20:00:00,"Shanghai, China",5
221,Merch Sale Event,2023-11-04 19:00:00,2023-11-04 22:00:00,"Cairo, Egypt",1
222,Tour,2021-12-20 03:00:00,2021-12-20 05:00:00,"Mumbai, India",3
223,Reality Show,2022-08-04 12:00:00,2022-08-04 16:00:00,"Dhaka, Bangladesh",4
224,Reality Show,2024-03-29 19:00:00,2024-03-29 22:00:00,"Kinshasa, DR Congo",1
225,Merch Sale Event,2024-03-07 01:00:00,2024-03-07 04:00:00,"Osaka, Japan",1
226,Merch Sale Event,2023-09-13 19:00:00,2023-09-13 23:00:00,"Rio de Janeiro, Brazil",4
227,Reality Show,2022-04-06 18:00:00,2022-04-06 19:00:00,"Tokyo, Japan",2
228,Merch Sale Event,2023-05-14 07:00:00,2023-05-14 11:00:00,"Tianjin, China",3
229,Merch Sale Event,2024-09-09 18:00:00,2024-09-09 20:00:00,"Tianjin, China",1
230,Merch Sale Event,2023-06-16 04:00:00,2023-06-16 06:00:00,"Kolkata, India",4
231,Reality Show,2022-09-08 19:00:00,2022-09-08 22:00:00,"Manila, Philippines",5
232,Fan Meet-Up,2022-10-22 08:00:00,2022-10-22 11:00:00,"Osaka, Japan",2
233,Tour,2023-08-28 18:00:00,2023-08-28 20:00:00,"São Paulo, Brazil",1
234,Concert,2022-03-29 16:00:00,2022-03-29 19:00:00,"Shanghai, China",4
235,Fan Meet-Up,2023-08-21 20:00:00,2023-08-21 23:00:00,"Istanbul, Turkey",4
236,Concert,2021-11-19 23:00:00,2021-11-20 01:00:00,"Osaka, Japan",5
237,Fan Meet-Up,2024-04-07 22:00:00,2024-04-08 01:00:00,"Shanghai, China",5
238,Fan Meet-Up,2023-07-20 16:00:00,2023-07-20 17:00:00,"Lagos, Nigeria",2
239,Merch Sale Event,2024-04-30 20:00:00,2024-05-01 00:00:00,"Chongqing, China",2
240,Reality Show,2022-07-04 12:00:00,2022-07-04 16:00:00,"Kolkata, India",1
241,Reality Show,2023-10-26 03:00:00,2023-10-26 07:00:00,"Tokyo, Japan",2
242,Merch Sale Event,2023-09-05 20:00:00,2023-09-05 22:00:00,"Mexico City, Mexico",4
243,Tour,2024-04-30 10:00:00,2024-04-30 11:00:00,"Mumbai, India",5
244,Concert,2023-12-27 18:00:00,2023-12-27 19:00:00,"Lagos, Nigeria",4
245,Tour,2023-09-14 02:00:00,2023-09-14 04:00:00,"Beijing, China",3
246,Reality Show,2023-04-09 23:00:00,2023-04-10 03:00:00,"Beijing, China",1
247,Reality Show,2024-02-25 13:00:00,2024-02-25 15:00:00,"Karachi, Pakistan",1
248,Fan Meet-Up,2023-03-05 05:00:00,2023-03-05 06:00:00,"Dhaka, Bangladesh",1
249,Merch Sale Event,2022-04-19 09:00:00,2022-04-19 12:00:00,"São Paulo, Brazil",5
250,Merch Sale Event,2024-06-30 08:00:00,2024-06-30 11:00:00,"Dhaka, Bangladesh",4
251,Fan Meet-Up,2022-03-07 12:00:00,2022-03-07 13:00:00,"Tokyo, Japan",5
252,Merch Sale Event,2023-09-26 20:00:00,2023-09-27 00:00:00,"Karachi, Pakistan",5
253,Merch Sale Event,2022-02-15 06:00:00,2022-02-15 08:00:00,"Osaka, Japan",4
254,Concert,2023-09-22 08:00:00,2023-09-22 10:00:00,"Tianjin, China",2
255,Reality Show,2022-05-06 14:00:00,2022-05-06 18:00:00,"Tianjin, China",5
256,Reality Show,2024-06-01 23:00:00,2024-06-02 00:00:00,"Manila, Philippines",5
257,Tour,2023-10-28 11:00:00,2023-10-28 15:00:00,"Rio de Janeiro, Brazil",2
258,Fan Meet-Up,2022-02-03 15:00:00,2022-02-03 18:00:00,"Chongqing, China",3
259,Fan Meet-Up,2023-03-03 17:00:00,2023-03-03 21:00:00,"Cairo, Egypt",2
260,Tour,2023-04-15 00:00:00,2023-04-15 03:00:00,"Karachi, Pakistan",4
261,Concert,2023-08-18 12:00:00,2023-08-18 13:00:00,"Istanbul, Turkey",5
262,Tour,2022-11-28 08:00:00,2022-11-28 10:00:00,"Rio de Janeiro, Brazil",2
263,Concert,2023-09-04 23:00:00,2023-09-05 02:00:00,"Delhi, India",1
264,Merch Sale Event,2022-03-23 00:00:00,2022-03-23 04:00:00,"Karachi, Pakistan",3
265,Reality Show,2023-01-23 06:00:00,2023-01-23 07:00:00,"Lagos, Nigeria",3
266,Concert,2024-02-18 04:00:00,2024-02-18 07:00:00,"Mexico City, Mexico",4
267,Reality Show,2023-03-11 04:00:00,2023-03-11 05:00:00,"Rio de Janeiro, Brazil",5
268,Concert,2024-06-04 03:00:00,2024-06-04 07:00:00,"Cairo, Egypt",2
269,Tour,2023-04-10 10:00:00,2023-04-10 11:00:00,"Osaka, Japan",5
270,Fan Meet-Up,2022-09-23 20:00:00,2022-09-23 22:00:00,"Lagos, Nigeria",4
271,Fan Meet-Up,2022-01-29 13:00:00,2022-01-29 16:00:00,"Rio de Janeiro, Brazil",5
272,Concert,2022-02-01 06:00:00,2022-02-01 07:00:00,"Buenos Aires, Argentina",3
273,Tour,2023-03-18 23:00:00,2023-03-19 02:00:00,"Manila, Philippines",5
274,Tour,2023-03-06 04:00:00,2023-03-06 08:00:00,"Mumbai, India",3
275,Merch Sale Event,2022-07-05 23:00:00,2022-07-06 00:00:00,"Karachi, Pakistan",1
276,Tour,2023-07-19 16:00:00,2023-07-19 20:00:00,"Osaka, Japan",3
277,Merch Sale Event,2022-09-28 04:00:00,2022-09-28 06:00:00,"Beijing, China",5
278,Fan Meet-Up,2022-10-02 17:00:00,2022-10-02 21:00:00,"Manila, Philippines",5
279,Tour,2022-12-23 15:00:00,2022-12-23 18:00:00,"Kinshasa, DR Congo",2
280,Merch Sale Event,2022-02-11 10:00:00,2022-02-11 12:00:00,"Osaka, Japan",5
281,Fan Meet-Up,2022-03-28 17:00:00,2022-03-28 18:00:00,"Kinshasa, DR Congo",4
282,Reality Show,2022-07-23 10:00:00,2022-07-23 11:00:00,"Buenos Aires, Argentina",2
283,Tour,2023-09-21 11:00:00,2023-09-21 12:00:00,"Manila, Philippines",2
284,Merch Sale Event,2022-07-04 11:00:00,2022-07-04 14:00:00,"Istanbul, Turkey",1
285,Reality Show,2022-12-23 20:00:00,2022-12-24 00:00:00,"Mexico City, Mexico",5
286,Merch Sale Event,2021-12-24 15:00:00,2021-12-24 16:00:00,"Osaka, Japan",1
287,Tour,2021-11-20 13:00:00,2021-11-20 15:00:00,"Osaka, Japan",2
288,Fan Meet-Up,2024-09-04 21:00:00,2024-09-04 23:00:00,"Tianjin, China",2
289,Tour,2023-07-13 03:00:00,2023-07-13 07:00:00,"Tianjin, China",5
290,Merch Sale Event,2021-11-18 05:00:00,2021-11-18 06:00:00,"Mumbai, India",5
291,Reality Show,2024-10-04 14:00:00,2024-10-04 18:00:00,"São Paulo, Brazil",3
292,Tour,2021-12-01 19:00:00,2021-12-01 22:00:00,"Buenos Aires, Argentina",2
