Username,ItemID,Bias,EventName
tony19,304,Sakura,Reality Show
sean45,305,Chaewon,Merch Sale Event
carlsonlindsay,306,Sakura,Fan Meet-Up
rebecca90,307,Kazuha,Concert
aaron89,308,Sakura,Fan Meet-Up
charles82,309,Kazuha,Tour
davidmack,310,Yunjin,Fan Meet-Up
jnelson,311,Yunjin,Fan Meet-Up
angela90,312,Eunchae,Concert
adamcooper,313,Eunchae,Merch Sale Event
melissa37,314,Eunchae,Tour
jason47,315,Yunjin,Tour
smithandrew,316,Kazuha,Tour
johnsonashley,317,Sakura,Concert
dalewhite,318,Chaewon,Tour
lawsontanya,319,Eunchae,Merch Sale Event
pamhayes,320,Sakura,Tour
tjames,321,Yunjin,Reality Show
morrisonanne,322,Eunchae,Concert
stephanie46,323,Sakura,Tour
gonzalezthomas,324,Yunjin,Fan Meet-Up
kevin50,325,Sakura,Merch Sale Event
julieadams,326,Yunjin,Merch Sale Event
david89,327,Sakura,Tour
jacquelinemullen,328,Eunchae,Merch Sale Event
clarkechad,329,Chaewon,Merch Sale Event
markray,330,Eunchae,Reality Show
thompsonkaren,331,Kazuha,Reality Show
sandersmichael,332,Kazuha,Reality Show
dan71,333,Kazuha,Tour
uvelazquez,334,Kazuha,Reality Show
geoffrey23,335,Yunjin,Fan Meet-Up
lisa62,336,Chaewon,Merch Sale Event
kayla96,337,Sakura,Concert
lance65,338,Kazuha,Concert
shepherdtammy,339,Chaewon,Concert
dixonteresa,340,Eunchae,Reality Show
eberg,341,Eunchae,Fan Meet-Up
zhoward,342,Kazuha,Tour
zimmermanlisa,343,Kazuha,Tour
nealpenny,344,Chaewon,Fan Meet-Up
watsonbreanna,345,Sakura,Fan Meet-Up
jameshenderson,346,Eunchae,Merch Sale Event
adamjoyce,347,Yunjin,Fan Meet-Up
mathewaustin,348,Sakura,Tour
patriciagilbert,349,Chaewon,Concert
martintyler,350,Kazuha,Merch Sale Event
zsawyer,351,Chaewon,Tour
brianelliott,352,Eunchae,Reality Show
dhoward,353,Kazuha,Concert
luis38,354,Kazuha,Concert
ofrazier,355,Yunjin,Tour
gregorycraig,356,Yunjin,Reality Show
antonio39,357,Chaewon,Fan Meet-Up
lowen,358,Kazuha,Fan Meet-Up
stephanieholder,359,Eunchae,Merch Sale Event
nharrington,360,Eunchae,Merch Sale Event
scottbates,361,Yunjin,Concert
ryan93,362,Sakura,Merch Sale Event
hamptonjohn,363,Sakura,Fan Meet-Up
michelle94,364,Eunchae,Reality Show
lwilliams,365,Yunjin,Reality Show
lindsey77,366,Yunjin,Fan Meet-Up
amurray,367,Kazuha,Concert
beaton,368,Chaewon,Concert
karen32,369,Chaewon,Concert
aliciapalmer,370,Yunjin,Fan Meet-Up
debra67,371,Yunjin,Fan Meet-Up
joshuaguerrero,372,Chaewon,Fan Meet-Up
jon38,373,Sakura,Merch Sale Event
qedwards,374,Sakura,Reality Show
mstephens,375,Yunjin,Merch Sale Event
hyoung,376,Eunchae,Tour
omay,377,Sakura,Concert
robinjackson,378,Sakura,Tour
leahanderson,379,Kazuha,Reality Show
jamesperez,380,Eunchae,Merch Sale Event
bairddeborah,381,Sakura,Concert
marywells,382,Kazuha,Fan Meet-Up
timothyjohnson,383,Yunjin,Reality Show
uwaters,384,Chaewon,Reality Show
amberpennington,385,Yunjin,Merch Sale Event
jamieblake,386,Kazuha,Fan Meet-Up
jonesandrea,387,Sakura,Merch Sale Event
william50,388,Kazuha,Fan Meet-Up
mary28,389,Yunjin,Concert
greenjill,390,Yunjin,Reality Show
ggardner,391,Eunchae,Tour
snyderdebra,392,Kazuha,Tour
mcguireashley,393,Sakura,Tour
jameshenderson,394,Chaewon,Reality Show
thomasnicholas,395,Sakura,Merch Sale Event
rogerskathy,396,Yunjin,Fan Meet-Up
cbowers,397,Kazuha,Tour
kristy77,398,Sakura,Reality Show
richardsonmichelle,399,Chaewon,Fan Meet-Up
tiffanysanford,400,Kazuha,Reality Show
harmstrong,401,Sakura,Concert
tiffanysmith,402,Eunchae,Fan Meet-Up
daychristina,403,Yunjin,Reality Show
uschultz,404,Kazuha,Tour
jason09,405,Sakura,Merch Sale Event
hannahcooper,406,Sakura,Fan Meet-Up
rmartinez,407,Yunjin,Tour
michaelrodriguez,408,Eunchae,Reality Show
tonicraig,409,Sakura,Reality Show
kmiller,410,Sakura,Concert
whiteelijah,411,Eunchae,Reality Show
victoria69,412,Kazuha,Fan Meet-Up
christina64,413,Eunchae,Merch Sale Event
mark59,414,Yunjin,Reality Show
hogandavid,415,Sakura,Reality Show
lynnbailey,416,Yunjin,Fan Meet-Up
maryellis,417,Chaewon,Fan Meet-Up
jbush,418,Eunchae,Fan Meet-Up
richardstaylor,419,Sakura,Merch Sale Event
castillocheryl,420,Kazuha,Concert
mathewaustin,421,Eunchae,Merch Sale Event
sean45,422,Chaewon,Tour
justiningram,423,Kazuha,Merch Sale Event
brianna56,424,Eunchae,Merch Sale Event
robert67,425,Yunjin,Reality Show
matthew45,426,Sakura,Tour
joe92,427,Chaewon,Concert
stephensrichard,428,Sakura,Reality Show
lyonsandrew,429,Kazuha,Merch Sale Event
charris,430,Kazuha,Merch Sale Event
wilkinsonisaiah,431,Sakura,Reality Show
schneiderjose,432,Yunjin,Concert
tstevenson,433,Eunchae,Merch Sale Event
laura13,434,Sakura,Fan Meet-Up
ybridges,435,Kazuha,Tour
shepherdtammy,436,Eunchae,Concert
ashleyconner,437,Sakura,Reality Show
charles58,438,Kazuha,Fan Meet-Up
hjames,439,Eunchae,Concert
qjones,440,Yunjin,Tour
christinemoore,441,Sakura,Tour
scottsanchez,442,Yunjin,Fan Meet-Up
kristenevans,443,Kazuha,Merch Sale Event
kristabrown,444,Eunchae,Merch Sale Event
katherinekramer,445,Sakura,Fan Meet-Up
gregory33,446,Eunchae,Fan Meet-Up
ebonygibson,447,Eunchae,Fan Meet-Up
armstrongandrew,448,Kazuha,Merch Sale Event
dixonteresa,449,Eunchae,Merch Sale Event
fbarrett,450,Chaewon,Fan Meet-Up
santiagoshelia,451,Eunchae,Fan Meet-Up
wsnyder,452,Yunjin,Concert
crystal60,453,Chaewon,Reality Show
drewwilliams,454,Sakura,Concert
andersonstephanie,455,Sakura,Reality Show
warroyo,456,Sakura,Tour
tyleraguilar,457,Kazuha,Merch Sale Event
cindy81,458,Eunchae,Tour
alexandertravis,459,Sakura,Fan Meet-Up
judy92,460,Eunchae,Concert
mauricebrewer,461,Kazuha,Merch Sale Event
linda47,462,Yunjin,Merch Sale Event
bsimmons,463,Sakura,Tour
eric33,464,Sakura,Concert
martintyler,465,Sakura,Reality Show
brianmorgan,466,Kazuha,Concert
onelson,467,Chaewon,Merch Sale Event
shawnosborn,468,Kazuha,Merch Sale Event
harperfred,469,Yunjin,Merch Sale Event
mortega,470,Yunjin,Fan Meet-Up
mellison,471,Chaewon,Merch Sale Event
irice,472,Chaewon,Tour
zlee,473,Chaewon,Tour
xpatel,474,Kazuha,Reality Show
christopherwebster,475,Yunjin,Fan Meet-Up
aaronscott,476,Sakura,Fan Meet-Up
ayersangela,477,Chaewon,Merch Sale Event
richard44,478,Kazuha,Fan Meet-Up
vbell,479,Chaewon,Reality Show
kenneth31,480,Eunchae,Merch Sale Event
barrynathaniel,481,Chaewon,Tour
dalewhite,482,Sakura,Reality Show
aharper,483,Sakura,Concert
tbrennan,484,Chaewon,Concert
theodore04,485,Chaewon,Concert
brianna56,486,Kazuha,Concert
jessicabowen,487,Kazuha,Reality Show
katherine19,488,Sakura,Concert
kevinhogan,489,Sakura,Tour
carpenterzachary,490,Sakura,Concert
austinmary,491,Sakura,Fan Meet-Up
matthewgutierrez,492,Chaewon,Tour
morenojason,493,Eunchae,Fan Meet-Up
vargasdorothy,494,Eunchae,Reality Show
hudsonkarl,495,Chaewon,Tour
villegasdon,496,Kazuha,Fan Meet-Up
yfields,497,Sakura,Reality Show
daltondavid,498,Sakura,Tour
melissalewis,499,Chaewon,Tour
elizabeth40,500,Kazuha,Fan Meet-Up
fishertammy,501,Sakura,Merch Sale Event
aliciapalmer,502,Kazuha,Fan Meet-Up
gnielsen,503,Yunjin,Reality Show
jennifer86,504,Eunchae,Tour
zorr,505,Kazuha,Fan Meet-Up
lbutler,506,Yunjin,Merch Sale Event
connor04,507,Sakura,Fan Meet-Up
lclark,508,Yunjin,Fan Meet-Up
raysandra,509,Sakura,Concert
vvelez,510,Yunjin,Merch Sale Event
franklintyler,511,Chaewon,Concert
susan80,512,Yunjin,Concert
ashleyperkins,513,Sakura,Merch Sale Event
mooremichele,514,Sakura,Reality Show
dwood,515,Eunchae,Tour
patriciagilbert,516,Sakura,Fan Meet-Up
zcarpenter,517,Yunjin,Reality Show
adamedwards,518,Sakura,Reality Show
csmith,519,Sakura,Reality Show
hreyes,520,Sakura,Tour
ashleyperkins,521,Chaewon,Concert
jodi79,522,Yunjin,Tour
fordmatthew,523,Sakura,Tour
stephaniefox,524,Kazuha,Concert
wesley73,525,Sakura,Reality Show
simmonsdennis,526,Sakura,Reality Show
amanda98,527,Eunchae,Fan Meet-Up
ayerskyle,528,Eunchae,Merch Sale Event
ekane,529,Yunjin,Merch Sale Event
ppadilla,530,Yunjin,Fan Meet-Up
jonathon04,531,Sakura,Fan Meet-Up
stewartmichael,532,Sakura,Fan Meet-Up
fmorgan,533,Yunjin,Tour
vbailey,534,Kazuha,Merch Sale Event
rphillips,535,Yunjin,Tour
nathan18,536,Chaewon,Concert
julie25,537,Kazuha,Reality Show
rswanson,538,Sakura,Fan Meet-Up
russell14,539,Sakura,Reality Show
smithautumn,540,Kazuha,Reality Show
mschultz,541,Sakura,Fan Meet-Up
aoneal,542,Eunchae,Merch Sale Event
hjuarez,543,Eunchae,Tour
erin77,544,Chaewon,Tour
jasonlopez,545,Yunjin,Merch Sale Event
christinemccullough,546,Chaewon,Merch Sale Event
davisrandall,547,Chaewon,Tour
samanthaspears,548,Yunjin,Tour
bstuart,549,Eunchae,Merch Sale Event
cunninghamluke,550,Kazuha,Concert
jamesleslie,551,Eunchae,Tour
rhonda51,552,Kazuha,Reality Show
nicholasoconnell,553,Yunjin,Merch Sale Event
ramirezstacy,554,Kazuha,Merch Sale Event
jennifer80,555,Yunjin,Reality Show
matthewlivingston,556,Kazuha,Fan Meet-Up
sararobbins,557,Kazuha,Tour
rebeccaliu,558,Yunjin,Tour
monicaclark,559,Yunjin,Fan Meet-Up
christopherhaynes,560,Kazuha,Merch Sale Event
heatherkirk,561,Chaewon,Fan Meet-Up
bmolina,562,Eunchae,Merch Sale Event
julie25,563,Kazuha,Fan Meet-Up
graymichael,564,Chaewon,Merch Sale Event
krivera,565,Eunchae,Merch Sale Event
wilkinsonisaiah,566,Sakura,Merch Sale Event
michael69,567,Kazuha,Merch Sale Event
thomasrobert,568,Chaewon,Tour
xpatel,569,Yunjin,Tour
anthonygray,570,Sakura,Reality Show
brandihendrix,571,Yunjin,Fan Meet-Up
stephenchambers,572,Chaewon,Fan Meet-Up
susanbarnett,573,Sakura,Fan Meet-Up
jeffery32,574,Sakura,Fan Meet-Up
moralesrebecca,575,Chaewon,Reality Show
wfields,576,Eunchae,Reality Show
ppadilla,577,Kazuha,Concert
williamadams,578,Chaewon,Fan Meet-Up
donovanmichele,579,Chaewon,Concert
benjamin91,580,Sakura,Merch Sale Event
ericdean,581,Chaewon,Reality Show
amandapope,582,Kazuha,Reality Show
fraymond,583,Chaewon,Tour
kennethlane,584,Kazuha,Merch Sale Event
bethanyperez,585,Sakura,Merch Sale Event
hjuarez,586,Eunchae,Concert
kirstenwhite,587,Chaewon,Fan Meet-Up
greenjill,588,Sakura,Concert
darrellruiz,589,Eunchae,Reality Show
stevewilliams,590,Yunjin,Concert
nancy12,591,Sakura,Concert
hilldanielle,592,Yunjin,Fan Meet-Up
zhamilton,593,Kazuha,Fan Meet-Up
heather48,594,Sakura,Reality Show
thompsonkatrina,595,Sakura,Reality Show
timothy29,596,Sakura,Concert
richard88,597,Kazuha,Concert
sean45,598,Kazuha,Tour
rebecca37,599,Chaewon,Tour
moorejulia,600,Sakura,Fan Meet-Up
moonbrandy,601,Kazuha,Concert
walkersteven,602,Sakura,Fan Meet-Up
zimmermanbrianna,603,Eunchae,Concert
callahanedward,604,Kazuha,Concert
gary15,605,Yunjin,Fan Meet-Up
shaun75,606,Eunchae,Tour
stephenparker,607,Eunchae,Merch Sale Event
elizabethmeyer,608,Kazuha,Concert
warnold,609,Chaewon,Reality Show
jonestara,610,Chaewon,Fan Meet-Up
mbarrett,611,Yunjin,Concert
dmoore,612,Sakura,Reality Show
andersonstephanie,613,Yunjin,Reality Show
beasleythomas,614,Sakura,Fan Meet-Up
sarah57,615,Kazuha,Reality Show
michaelross,616,Sakura,Fan Meet-Up
brianelliott,617,Chaewon,Reality Show
patelcharles,618,Eunchae,Tour
eric60,619,Kazuha,Reality Show
kimberly05,620,Yunjin,Fan Meet-Up
aking,621,Kazuha,Fan Meet-Up
hartchristine,622,Chaewon,Merch Sale Event
carnold,623,Kazuha,Merch Sale Event
catherine20,624,Yunjin,Fan Meet-Up
ericgregory,625,Kazuha,Merch Sale Event
hansonmichael,626,Sakura,Reality Show
glopez,627,Kazuha,Merch Sale Event
sandra09,628,Eunchae,Concert
xwatts,629,Eunchae,Concert
keithsimpson,630,Yunjin,Merch Sale Event
clementschristopher,631,Eunchae,Merch Sale Event
tyler52,632,Chaewon,Tour
stacy18,633,Kazuha,Fan Meet-Up
snyderashley,634,Kazuha,Reality Show
kclark,635,Yunjin,Merch Sale Event
kellycastillo,636,Yunjin,Concert
isaiahstevens,637,Eunchae,Tour
webstermark,638,Yunjin,Reality Show
odavis,639,Eunchae,Tour
rileydonald,640,Chaewon,Merch Sale Event
ryanjohn,641,Kazuha,Concert
donbentley,642,Kazuha,Fan Meet-Up
karen74,643,Chaewon,Concert
bergbrittney,644,Eunchae,Tour
amysmith,645,Chaewon,Fan Meet-Up
smithkelli,646,Yunjin,Tour
kaitlynbenson,647,Chaewon,Fan Meet-Up
marissaolson,648,Eunchae,Concert
jacqueline58,649,Sakura,Tour
seth81,650,Sakura,Reality Show
theresaalvarado,651,Kazuha,Concert
jacqueline04,652,Chaewon,Tour
melody63,653,Kazuha,Tour
christophercruz,654,Kazuha,Concert
traviswatts,655,Kazuha,Fan Meet-Up
evanschad,656,Chaewon,Fan Meet-Up
dmcdonald,657,Chaewon,Reality Show
stephaniemonroe,658,Eunchae,Merch Sale Event
anna44,659,Yunjin,Merch Sale Event
evansanne,660,Eunchae,Concert
richardstaylor,661,Yunjin,Concert
carolynpratt,662,Yunjin,Reality Show
brandtjoshua,663,Chaewon,Reality Show
jacksonmelissa,664,Eunchae,Tour
robinsondenise,665,Chaewon,Merch Sale Event
donald15,666,Chaewon,Tour
jennifer00,667,Kazuha,Reality Show
laura13,668,Sakura,Fan Meet-Up
jeffreymartinez,669,Eunchae,Concert
ualvarez,670,Kazuha,Tour
ppadilla,671,Yunjin,Merch Sale Event
hernandezamy,672,Eunchae,Merch Sale Event
franklintyler,673,Yunjin,Fan Meet-Up
marquezchristopher,674,Eunchae,Merch Sale Event
dstanton,675,Eunchae,Reality Show
elizabethburke,676,Chaewon,Merch Sale Event
thomasanderson,677,Kazuha,Concert
zkennedy,678,Sakura,Merch Sale Event
robert07,679,Chaewon,Tour
zperez,680,Sakura,Tour
dgomez,681,Chaewon,Merch Sale Event
vhamilton,682,Yunjin,Concert
adamedwards,683,Chaewon,Fan Meet-Up
jprice,684,Yunjin,Concert
lindseysharon,685,Sakura,Fan Meet-Up
